category,sub_category,city,clinic_name,doctor_name,address,phone,rating,review_count,hours,pets_treated,speciality,website_notes
Veterinarian,Clinic,Gurgaon,Pet Chikitsa Veterinary Hospital,"Dr. Parmod, Dr. Garima","Clinic-2, Behind HUDA Shopping Complex, Huda Colony, Sector 46, Gurugram",+917303022201,4.8,2146,Open 24 hours,"Dogs, Cats","GDV Surgery, Spay/Neuter, Pyometra, Tumor Removal",
Veterinarian,Clinic,Gurgaon,SKRD Veterinary Hospital,Dr. Sandeep,"Plot 584, Near Chopra Diagnostic, Sector 31, Gurugram",+919911116896,4.5,1845,Open 24 hours,"Dogs, Cats, Stray","Emergency, Parvo, Tick Fever, Kitten Critical Care",
Veterinarian,Clinic,Gurgaon,Blue Coat Vet Clinic,Dr. Shashank Goyal,"C-1532, Vyapar Kendra Rd, Sushant Lok Phase I, Gurugram",+917389891754,5.0,224,6 AM - 11:30 PM,"Dogs, Cats","Feline Asthma, Emergency Surgery",
Veterinarian,Clinic,Gurgaon,CGS Veterinary Hospital,,"Site 2204, S-25, Garden Estate, DLF Phase 3, Sector 24, Gurugram",+919311014490,4.2,2651,Open 24 hours,"Dogs, Cats","Neutering, Seizures, Oncology",
Veterinarian,Clinic,Gurgaon,Cessna Lifeline Veterinary Hospital,Dr. Rajendar & Team,"No. 25-P, Near Iskcon Temple, Uday Nagar, Sector 45, Gurugram",+917676365365,4.8,1788,Open 24 hours,"Dogs, Cats",Home Visits,
Veterinarian,Clinic,Gurgaon,The Élite Vets Advanced Petcare,"Dr. Mehla, Dr. Kartik Kaushik, Dr. Raghbir","HUDA Market, DSS 107 & 108, Uday Nagar, Sector 45, Gurugram",+919266395550,4.9,332,Open 24 hours,"Dogs, Cats","Tick Fever, Anemia, Advanced Diagnostics",
Veterinarian,Clinic,Gurgaon,Vet Planet,,"5, Bougainvilla Marg, DLF Phase 2, Sector 25, Gurugram",+919911609095,4.8,385,8 AM - 8 PM,"Dogs, Cats","General Practice, Wellness",
Veterinarian,Clinic,Gurgaon,Vet At Home,Dr. Rahul Yadav,"Maruti Kunj, Near Shyam Kunj Hospital, Bhondsi, Gurugram",+919350409324,5.0,57,Open 24 hours,"Dogs, Cats","Home Visits Only, Kidney Disease",
Veterinarian,Clinic,Gurgaon,Dr. Pooja Pet Clinic,Dr. Pooja,"House 1314, Near Rezang La Chowk, Carterpuri Village, Sector 23A, Gurugram",+919990896949,4.8,207,7 AM - 11 PM,"Dogs, Cats","Spay/Neuter, Bloat/GDV, Surgery",
Veterinarian,Clinic,Gurgaon,Vetify Animal Clinic,Dr. Gautam,"Shop 33, HUDA Market, Sector 7, Gurugram",+918882377167,4.9,10,Open 24 hours,"Dogs, Cats",General Practice,
Veterinarian,Clinic,Gurgaon,AVC Multispeciality Pet Hospital,"Dr. Hardeep Beniwal, Dr. Ankit","Badha, Regal Garden, Near DLF, Sector 90, Gurugram",+919990070026,4.8,690,Open 24 hours,"Dogs, Cats","Laser Therapy, Orthopaedics",
Veterinarian,Clinic,Gurgaon,Animed Veterinary Clinic,Dr. Abhishek Shokeen,"1107, Huda Colony, Sector 46, Gurugram",+917075757549,4.9,32,Open 24 hours,"Dogs, Cats","Parvo, Critical Care, Surgery",
Veterinarian,Clinic,Gurgaon,Vetic Pet Clinic – Sector 45,"Dr. Arun, Dr. Sahil","Plot 675/778, Near Arihant Hospital, Sector 45, Gurugram",+918750033894,4.5,1078,Open 24 hours,"Dogs, Cats","Vaccination Packages, Emergency",
Veterinarian,Clinic,Gurgaon,Vetic Pet Clinic – Sohna Road,,"Spaze Boulevard, Badshahpur Sohna Rd, Sector 47, Gurugram",+918929009134,4.6,969,Open 24 hours,"Dogs, Cats","General Practice, Wellness",
Veterinarian,Clinic,Gurgaon,DCC Animal Hospital,Dr. Vinod Sharma,"Jagdamba Farm, Carterpuri Marg, Sector 23A, Gurugram",+919311560101,4.6,682,8:30 AM - 9:30 PM,"Dogs, Cats","General Practice, Boarding, Grooming, Medical Supervision",
Veterinarian,Clinic,Gurgaon,MaxPetZ – Palam Vihar,Dr. Kanwarbir,"580 P, Palam Vihar Rd, Sector 23, Gurugram",+919810383815,4.7,202,10 AM - 8 PM,"Dogs, Cats","Parvo, Microchipping",
Veterinarian,Clinic,Gurgaon,B.M.R Pet Clinic,"Dr. Rahul, Dr. Bhardwaj","Shop 1, Main Baghera Road, New Palam Vihar, Sector 110, Gurugram",+917827506871,4.8,64,9 AM - 9 PM,"Dogs, Cats","Home Visits, Spay/Neuter",
